"user_id","age","gender","occupation","zip_code","longitude","latitude"
1,43,"M","artist","98006",-122.1526,47.562975
2,62,"F","administrator","78756",-97.74177,30.320206
3,40,"F","educator","73013",-97.47909,35.623805
4,21,"F","artist","94533",-122.03701,38.269582
5,24,"M","artist","10003",-73.98935,40.732509
6,15,"F","student","06059",-72.92017,41.937513
7,34,"M","educator","91903",-116.846046,33.016928
8,40,"F","artist","89801",-115.75016,40.883028
9,20,"M","student","40504",-84.54259,38.039322
10,21,"F","student","02176",-71.06233,42.459045
11,64,"M","other","91606",-118.38836,34.185698
12,28,"M","engineer","02341",-70.86205,42.059434
13,21,"M","salesman","31211",-83.59963,32.878304
14,47,"M","educator","74075",-97.05784,36.149394
15,30,"M","student","10025",-73.96811,40.798502
16,42,"F","librarian","12065",-73.78445,42.853676
17,53,"F","administrator","80303",-105.22883,39.989135
18,28,"M","administrator","94305",-122.16496,37.427039
19,18,"F","student","40256",-85.676819,38.188962
20,45,"M","executive","33775",-82.724763,27.891809
21,15,"F","student","25652",-82.03943,37.800168
22,26,"M","student","15232",-79.9325,40.454018
23,38,"M","scientist","27514",-79.02939,35.915083
24,31,"M","student","33066",-80.17799,26.253238
25,60,"M","retired","95076",-121.77224,36.922902
26,21,"M","writer","92653",-117.71295,33.602823
27,26,"M","engineer","55343",-93.40857,44.921599
28,21,"F","student","54494",-89.78761,44.373468
29,30,"M","technician","29379",-81.60496,34.714045
30,28,"M","librarian","27514",-79.02939,35.915083
31,25,"F","student","66046",-95.22513,38.932303
32,30,"F","none","90247",-118.2975,33.891265
33,28,"M","doctor","85032",-112.00416,33.62414
34,49,"M","librarian","50266",-93.78287,41.581181
35,27,"F","other","20009",-77.03777,38.919211
36,23,"F","educator","20784",-76.8888,38.950528
37,44,"M","educator","63130",-90.32348,38.663951
38,19,"M","student","22904",-78.485066,38.040101
39,26,"F","scientist","21911",-76.05395,39.694974
40,23,"F","student","55346",-93.4869,44.880435
41,30,"F","student","32250",-81.39844,30.284641
