user_id,age,gender,occupation,zip_code,longitude,latitude
1,43,M,artist,98006,-122.1526,47.562975
2,62,F,administrator,78756,-97.74176999999999,30.320206
3,40,F,educator,73013,-97.47909,35.623805
4,21,F,artist,94533,-122.03701000000001,38.269582
5,24,M,artist,10003,-73.98935,40.732509
6,15,F,student,06059,-72.92017,41.937513
7,34,M,educator,91903,-116.846046,33.016928
8,40,F,artist,89801,-115.75016000000001,40.883028
9,20,M,student,40504,-84.54259,38.039322
10,21,F,student,02176,-71.06233,42.459045
11,64,M,other,91606,-118.38836,34.185697999999995
12,28,M,engineer,02341,-70.86205,42.059434
13,21,M,salesman,31211,-83.59963,32.878304
14,47,M,educator,74075,-97.05784,36.149394
15,30,M,student,10025,-73.96811,40.798502
16,42,F,librarian,12065,-73.78445,42.853676
17,53,F,administrator,80303,-105.22883,39.989135
18,28,M,administrator,94305,-122.16496000000001,37.427039
19,18,F,student,40256,-85.676819,38.188962
20,45,M,executive,33775,-82.724763,27.891809000000002
21,15,F,student,25652,-82.03943000000001,37.800168
22,26,M,student,15232,-79.9325,40.454018
23,38,M,scientist,27514,-79.02939,35.915083
24,31,M,student,33066,-80.17799000000001,26.253238
25,60,M,retired,95076,-121.77224,36.922902
26,21,M,writer,92653,-117.71295,33.602823
27,26,M,engineer,55343,-93.40857,44.921599
28,21,F,student,54494,-89.78761,44.373468
29,30,M,technician,29379,-81.60495999999999,34.714045
30,28,M,librarian,27514,-79.02939,35.915083
31,25,F,student,66046,-95.22513000000001,38.932303000000005
32,30,F,none,90247,-118.2975,33.891265000000004
33,28,M,doctor,85032,-112.00416000000001,33.624140000000004
34,49,M,librarian,50266,-93.78286999999999,41.581181
35,27,F,other,20009,-77.03777,38.919211
36,23,F,educator,20784,-76.8888,38.950528000000006
37,44,M,educator,63130,-90.32348,38.663951000000004
38,19,M,student,22904,-78.485066,38.040101
39,26,F,scientist,21911,-76.05395,39.694974
40,23,F,student,55346,-93.4869,44.880435
41,30,F,student,32250,-81.39844000000001,30.284640999999997
42,44,F,educator,97007,-122.85602,45.469079
43,25,M,student,55454,-93.24327,44.969465
44,43,M,librarian,02324,-70.97215,41.979501
45,26,M,writer,38115,-89.86291,35.057311
46,70,M,administrator,78212,-98.49649000000001,29.460380999999998
47,32,M,educator,43202,-83.00894,40.018814
48,44,F,writer,53214,-88.01273,43.020363
49,42,M,other,10960,-73.9258,41.089746000000005
50,60,M,retired,18505,-75.66603,41.39208
51,47,M,administrator,89503,-119.8373,39.536359999999995
52,43,F,healthcare,85210,-111.84128999999999,33.391233
53,31,M,executive,40243,-85.53657,38.237155
54,31,M,student,K7L5J,,
55,24,M,student,55454,-93.24327,44.969465
56,28,M,programmer,98121,-122.34578,47.61487
57,18,F,student,93063,-118.69606999999999,34.279343
58,22,M,student,11101,-73.93907,40.745340999999996
59,32,M,programmer,43212,-83.04268,39.988114
60,39,M,engineer,03060,-71.46491999999999,42.748888
61,26,F,none,78704,-97.76087,30.246309000000004
62,39,M,scientist,98034,-122.19702,47.71828
63,44,M,scientist,53711,-89.44499,43.036696
